aircraft_type,constraint_level,constraint_name,algorithm,avg_gap,std_gap,avg_time,std_time,avg_memory,std_memory,feasible_rate,n_tests
B777,1,Cargo Only,GA,0.01083234186091959,0.0,14.737144708633423,0.0,0.0661611557006836,0.0,0.0,1
B777,1,Cargo Only,CS,0.002923952418470453,0.0,11.183028221130371,0.0,0.029315948486328125,0.0,0.0,1
B777,1,Cargo Only,PSO,4.538494398369217,0.0,14.039645433425903,0.0,0.08976936340332031,0.0,0.0,1
B777,1,Cargo Only,MBO,0.022648077704585556,0.0,4.452224493026733,0.0,0.02814483642578125,0.0,0.0,1
B777,1,Cargo Only,QP,198.4403467220655,0.0,0.1692211627960205,0.0,41.17491149902344,0.0,0.0,1
B777,1,Cargo Only,MINLP,140.59241146979207,0.0,6.870512008666992,0.0,41.17095947265625,0.0,0.0,1
B777,1,Cargo Only,DP,155.0880809788577,0.0,0.01230001449584961,0.0,0.3106880187988281,0.0,0.0,1
B777,1,Cargo Only,ACO,0.07693111242065923,0.0,30.12540078163147,0.0,0.07261276245117188,0.0,0.0,1
B777,1,Cargo Only,CP,154.84107206451637,0.0,0.01797318458557129,0.0,0.28798770904541016,0.0,0.0,1
B777,1,Cargo Only,ABC,0.0027098044043005077,0.0,9.827324867248535,0.0,0.02707386016845703,0.0,0.0,1
B777,1,Cargo Only,MILP,141.77521312319368,0.0,3.6446011066436768,0.0,3.9390907287597656,0.0,0.0,1
B777,2,Cargo + Hold,GA,0.0010881132554095942,0.0,26.88460659980774,0.0,0.06006050109863281,0.0,0.0,1
B777,2,Cargo + Hold,CS,0.008120427210458638,0.0,30.437253713607788,0.0,0.03220653533935547,0.0,0.0,1
B777,2,Cargo + Hold,PSO,0.014960926257689177,0.0,30.23169445991516,0.0,0.08859443664550781,0.0,0.0,1
B777,2,Cargo + Hold,MBO,0.009368979664131666,0.0,5.334547281265259,0.0,0.0305023193359375,0.0,0.0,1
B777,2,Cargo + Hold,QP,198.4403467220655,0.0,0.16700339317321777,0.0,41.17418670654297,0.0,0.0,1
B777,2,Cargo + Hold,MINLP,140.59241146979207,0.0,7.12579345703125,0.0,41.16973876953125,0.0,0.0,1
B777,2,Cargo + Hold,DP,155.0880809788577,0.0,0.014054059982299805,0.0,0.3085899353027344,0.0,0.0,1
B777,2,Cargo + Hold,ACO,0.0001484910383807928,0.0,30.4666268825531,0.0,0.06106853485107422,0.0,0.0,1
B777,2,Cargo + Hold,CP,154.84107206451637,0.0,0.01922154426574707,0.0,0.2901926040649414,0.0,0.0,1
B777,2,Cargo + Hold,ABC,0.004925097317459922,0.0,11.744609832763672,0.0,0.032286643981933594,0.0,0.0,1
B777,2,Cargo + Hold,MILP,141.77521312319368,0.0,3.7433159351348877,0.0,3.9038429260253906,0.0,0.0,1
B777,3,Full Constraints,GA,0.0005926371177517887,0.0,26.896369695663452,0.0,0.07276535034179688,0.0,0.0,1
B777,3,Full Constraints,CS,0.005699500864700571,0.0,30.240825653076172,0.0,0.053325653076171875,0.0,0.0,1
B777,3,Full Constraints,PSO,0.014111638056558498,0.0,30.130805492401123,0.0,0.10240364074707031,0.0,0.0,1
B777,3,Full Constraints,MBO,0.03028665763705175,0.0,16.460784673690796,0.0,0.04830169677734375,0.0,0.0,1
B777,3,Full Constraints,QP,198.4403467220655,0.0,0.21765422821044922,0.0,41.173980712890625,0.0,0.0,1
B777,3,Full Constraints,MINLP,140.59241146979207,0.0,10.230505228042603,0.0,41.168670654296875,0.0,0.0,1
B777,3,Full Constraints,DP,155.0880809788577,0.0,0.014442920684814453,0.0,0.3084678649902344,0.0,0.0,1
B777,3,Full Constraints,ACO,0.07126463535576821,0.0,31.048121690750122,0.0,0.06309032440185547,0.0,0.0,1
B777,3,Full Constraints,CP,154.84107206451637,0.0,0.021741867065429688,0.0,0.28984928131103516,0.0,0.0,1
B777,3,Full Constraints,ABC,0.0030157137513761867,0.0,30.079858541488647,0.0,0.050070762634277344,0.0,0.0,1
B777,3,Full Constraints,MILP,141.77521312319368,0.0,4.773791074752808,0.0,3.9038429260253906,0.0,0.0,1
A320,1,Cargo Only,GA,0.03505584171859606,0.0,5.62218976020813,0.0,0.014026641845703125,0.0,0.0,1
A320,1,Cargo Only,CS,0.03505584171859606,0.0,4.485755920410156,0.0,0.011333465576171875,0.0,0.0,1
A320,1,Cargo Only,PSO,0.03505584171859606,0.0,5.305255889892578,0.0,0.011171340942382812,0.0,0.0,1
A320,1,Cargo Only,MBO,0.05078369963202146,0.0,1.666844367980957,0.0,0.00901031494140625,0.0,0.0,1
A320,1,Cargo Only,QP,5.094386384959955,0.0,0.006131172180175781,0.0,0.0164794921875,0.0,0.0,1
A320,1,Cargo Only,MINLP,5.019072305077288,0.0,0.009208202362060547,0.0,0.01709747314453125,0.0,0.0,1
A320,1,Cargo Only,DP,5.019072305077288,0.0,0.0020003318786621094,0.0,0.019725799560546875,0.0,0.0,1
A320,1,Cargo Only,ACO,0.06938028417954,0.0,4.611966609954834,0.0,0.010813713073730469,0.0,0.0,1
A320,1,Cargo Only,CP,5.019072305077288,0.0,0.0024704933166503906,0.0,0.008129119873046875,0.0,0.0,1
A320,1,Cargo Only,ABC,0.03505584171859606,0.0,4.061751365661621,0.0,0.009551048278808594,0.0,0.0,1
A320,1,Cargo Only,MILP,5.019072305077288,0.0,0.006608247756958008,0.0,0.0160064697265625,0.0,0.0,1
A320,2,Cargo + Hold,GA,0.03765703994133256,0.0,7.479322671890259,0.0,0.014743804931640625,0.0,0.0,1
A320,2,Cargo + Hold,CS,0.03505584171859606,0.0,6.067756414413452,0.0,0.011295318603515625,0.0,0.0,1
A320,2,Cargo + Hold,PSO,0.03765703994133256,0.0,5.926727056503296,0.0,0.011758804321289062,0.0,0.0,1
A320,2,Cargo + Hold,MBO,0.05078369963202146,0.0,2.2784414291381836,0.0,0.00958251953125,0.0,0.0,1
A320,2,Cargo + Hold,QP,5.094386384959955,0.0,0.007158994674682617,0.0,0.0164794921875,0.0,0.0,1
A320,2,Cargo + Hold,MINLP,5.019072305077288,0.0,0.009240388870239258,0.0,0.01709747314453125,0.0,0.0,1
A320,2,Cargo + Hold,DP,5.019072305077288,0.0,0.0010449886322021484,0.0,0.019725799560546875,0.0,0.0,1
A320,2,Cargo + Hold,ACO,0.06938028417954,0.0,4.592795133590698,0.0,0.010874748229980469,0.0,0.0,1
A320,2,Cargo + Hold,CP,5.019072305077288,0.0,0.002017974853515625,0.0,0.008129119873046875,0.0,0.0,1
A320,2,Cargo + Hold,ABC,0.03505584171859606,0.0,5.363179445266724,0.0,0.010100364685058594,0.0,0.0,1
A320,2,Cargo + Hold,MILP,5.019072305077288,0.0,0.009000539779663086,0.0,0.0160064697265625,0.0,0.0,1
A320,3,Full Constraints,GA,0.03505584171859606,0.0,6.872751712799072,0.0,0.015773773193359375,0.0,0.0,1
A320,3,Full Constraints,CS,0.03505584171859606,0.0,7.08311915397644,0.0,0.011676788330078125,0.0,0.0,1
A320,3,Full Constraints,PSO,0.03505584171859606,0.0,7.448244571685791,0.0,0.012605667114257812,0.0,0.0,1
A320,3,Full Constraints,MBO,0.03505584171859606,0.0,2.8126227855682373,0.0,0.0105743408203125,0.0,0.0,1
A320,3,Full Constraints,QP,5.094386384959955,0.0,0.0062313079833984375,0.0,0.0164794921875,0.0,0.0,1
A320,3,Full Constraints,MINLP,5.019072305077288,0.0,0.00820779800415039,0.0,0.01709747314453125,0.0,0.0,1
A320,3,Full Constraints,DP,5.019072305077288,0.0,0.0020329952239990234,0.0,0.019725799560546875,0.0,0.0,1
A320,3,Full Constraints,ACO,0.06938028417954,0.0,4.367049932479858,0.0,0.010890007019042969,0.0,0.0,1
A320,3,Full Constraints,CP,5.019072305077288,0.0,0.003155231475830078,0.0,0.008129119873046875,0.0,0.0,1
A320,3,Full Constraints,ABC,0.03505584171859606,0.0,6.105002164840698,0.0,0.011107444763183594,0.0,0.0,1
A320,3,Full Constraints,MILP,5.019072305077288,0.0,0.007369041442871094,0.0,0.0160064697265625,0.0,0.0,1
